Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Guillermo Ochoa,Mexico,GK,#1,0,0,CONCACAF
Jesus Gallardo,Mexico,DEF,#2,1,0,CONCACAF
Hector Moreno,Mexico,DEF,#3,1,0,CONCACAF
Nestor Araujo,Mexico,DEF,#4,2,0,CONCACAF
Miguel Layun,Mexico,DEF,#5,2,0,CONCACAF
Hector Herrera,Mexico,MID,#6,4,0,CONCACAF
Jonathan Dos Santos,Mexico,MID,#7,4,0,CONCACAF
Edson Alvarez,Mexico,MID,#8,4,0,CONCACAF
Andres Guardado,Mexico,MID,#9,6,0,CONCACAF
Raul Jimenez,Mexico,ATK,#10,10,0,CONCACAF
Hirving Lozano,Mexico,ATK,#11,10,0,CONCACAF
Zack Steffen,USA,GK,#1,0,0,CONCACAF
Matt Miazga,USA,DEF,#2,1,0,CONCACAF
Tim Ream,USA,DEF,#3,1,0,CONCACAF
Aaron Long,USA,DEF,#4,2,0,CONCACAF
John Brooks,USA,DEF,#5,2,0,CONCACAF
Kellyn Acosta,USA,MID,#6,4,0,CONCACAF
Tyler Adams,USA,MID,#7,4,0,CONCACAF
Weston McKennie,USA,MID,#8,6,0,CONCACAF
Giovanni Reyna,USA,ATK,#9,6,0,CONCACAF
Christian Pulisic,USA,ATK,#10,10,0,CONCACAF
Jozy Altidore,USA,ATK,#11,10,0,CONCACAF
Dwayne Miller,Jamaica,GK,#1,0,0,CONCACAF
Michael Hector,Jamaica,DEF,#2,1,0,CONCACAF
Adrian Mariappa,Jamaica,DEF,#3,1,0,CONCACAF
Alvas Powell,Jamaica,DEF,#4,2,0,CONCACAF
Kemar Lawrence,Jamaica,DEF,#5,2,0,CONCACAF
Kevon Lambert,Jamaica,MID,#6,4,0,CONCACAF
Fabian McCarthy,Jamaica,MID,#7,4,0,CONCACAF
Ricardo Morris,Jamaica,MID,#8,6,0,CONCACAF
Peter-Lee Vassell,Jamaica,MID,#9,6,0,CONCACAF
Shamar Nicholson,Jamaica,ATK,#10,10,0,CONCACAF
Chavany Willis,Jamaica,ATK,#11,10,0,CONCACAF
Keylor Navas,Costa Rica,GK,#1,0,0,CONCACAF
Giancarlo Gonzalez,Costa Rica,DEF,#2,1,0,CONCACAF
Oscar Duarte,Costa Rica,DEF,#3,1,0,CONCACAF
Francisco Calvo,Costa Rica,DEF,#4,2,0,CONCACAF
Kendall Watson,Costa Rica,DEF,#5,2,0,CONCACAF
Yeltsin Tejeda,Costa Rica,MID,#6,4,0,CONCACAF
David Guzman,Costa Rica,MID,#7,4,0,CONCACAF
Celso Borges,Costa Rica,MID,#8,6,0,CONCACAF
Johan Venegas,Costa Rica,MID,#9,6,0,CONCACAF
Bryan Ruiz,Costa Rica,MID,#10,10,0,CONCACAF
Joel Campbell,Costa Rica,ATK,#11,10,0,CONCACAF
Lui Lopez,Honduras,GK,#1,0,0,CONCACAF
Marcelo Periera,Honduras,DEF,#2,1,0,CONCACAF
Ever Alvarado,Honduras,DEF,#3,1,0,CONCACAF
Emilio Izaguirre,Honduras,DEF,#4,2,0,CONCACAF
Maynor Figueroa,Honduras,DEF,#5,4,0,CONCACAF
Boniek Garcia,Honduras,MID,#6,4,0,CONCACAF
Alexander Lopez,Honduras,MID,#7,4,0,CONCACAF
Jorge Alvarez,Honduras,MID,#8,6,0,CONCACAF
Rubilio Castillo,Honduras,ATK,#9,6,0,CONCACAF
Anthony Lozano,Honduras,ATK,#10,10,0,CONCACAF
Albert Elis,Honduras,ATK,#11,10,0,CONCACAF
Henry Hernandez,El Salvador,GK,#1,0,0,CONCACAF
Juan Barahona,El Salvador,DEF,#2,1,0,CONCACAF
Ivan Marcia,El Salvador,DEF,#3,1,0,CONCACAF
Alexander Mendoza,El Salvador,DEF,#4,2,0,CONCACAF
Roberto Dominguez,El Salvador,DEF,#5,2,0,CONCACAF
Bryan Tamacas,El Salvador,DEF,#6,4,0,CONCACAF
Narciso Orellana,El Salvador,MID,#7,4,0,CONCACAF
Darwin Ceren,El Salvador,MID,#8,6,0,CONCACAF
Denis Pineda,El Salvador,MID,#9,6,0,CONCACAF
Andres Flores,El Salvador,MID,#10,10,0,CONCACAF
Joaquin Rivas,El Salvador,ATK,#11,10,0,CONCACAF
Maxime Crepeau,Canada,GK,#1,0,0,CONCACAF
Richie Laryea,Canada,DEF,#2,1,0,CONCACAF
Derek Cornelius,Canada,DEF,#3,1,0,CONCACAF
Sam Adekugbe,Canada,DEF,#4,2,0,CONCACAF
Alphonso Davies,Canada,DEF,#5,6,0,CONCACAF
Samuel Piette,Canada,MID,#6,4,0,CONCACAF
Mark-Anthony Kaye,Canada,MID,#7,4,0,CONCACAF
Jonathan Osorio,Canada,MID,#8,6,0,CONCACAF
Tesho Akindele,Canada,MID,#9,6,0,CONCACAF
Lucas Cavalini,Canada,ATK,#10,10,0,CONCACAF
Jayden Nelson,Canada,ATK,#11,10,0,CONCACAF
Eloy Room,Curacao,GK,#1,0,0,CONCACAF
Jurien Gaari,Curacao,DEF,#2,1,0,CONCACAF
Daryl Lachman,Curacao,DEF,#3,1,0,CONCACAF
Shanon Carmelia,Curacao,DEF,#4,2,0,CONCACAF
Cuco Martina,Curacao,DEF,#5,2,0,CONCACAF
Jeremy de Nooijer,Curacao,MID,#6,4,0,CONCACAF
Roly Nonevacia,Curacao,MID,#7,4,0,CONCACAF
Leandro Bacuna,Curacao,MID,#8,6,0,CONCACAF
Gevaro Nepomuceno,Curacao,ATK,#9,10,0,CONCACAF
Elson Hooi,Curacao,ATK,#10,10,0,CONCACAF
Rangelo Janga,Curacao,ATK,#11,10,0,CONCACAF
Luis Mejia,Panama,GK,#1,0,0,CONCACAF
Harold Cummings,Panama,DEF,#2,1,0,CONCACAF
Eric Davis,Panama,DEF,#3,1,0,CONCACAF
Fidel Escobar,Panama,DEF,#4,2,0,CONCACAF
Michael Murillo,Panama,DEF,#5,2,0,CONCACAF
Alberto Quintero,Panama,MID,#6,4,0,CONCACAF
Armando Cooper,Panama,MID,#7,4,0,CONCACAF
Anibal Godoy,Panama,MID,#8,3,0,CONCACAF
Abdiel Ayarza,Panama,MID,#9,6,0,CONCACAF
Gabriel Torres,Panama,ATK,#10,10,0,CONCACAF
Edwin Aguilar,Panama,ATK,#11,10,0,CONCACAF
Johny Placide,Haiti,GK,#1,0,0,CONCACAF
Alex Junior Christian,Haiti,DEF,#2,1,0,CONCACAF
Ricardo Ade,Haiti,DEF,#3,1,0,CONCACAF
Andrew Jean-Baptiste,Haiti,DEF,#4,2,0,CONCACAF
Carlens Arcus,Haiti,DEF,#5,2,0,CONCACAF
Bryan Alceus,Haiti,MID,#6,4,0,CONCACAF
Soni Mustivar,Haiti,MID,#7,4,0,CONCACAF
Duckens Nazon,Haiti,MID,#8,6,0,CONCACAF
Stephan Lambese,Haiti,MID,#9,6,0,CONCACAF
Derrick Etienne,Haiti,ATK,#10,10,0,CONCACAF
Frantzdy Pierrot,Haiti,ATK,#11,10,0,CONCACAF
Marvin Phillip,Trinidad and Tobago,GK,#1,0,0,CONCACAF
Neveal Hackshaw,Trinidad and Tobago,DEF,#2,1,0,CONCACAF
Josiah Trimmingham,Trinidad and Tobago,DEF,#3,1,0,CONCACAF
Jamal Jack,Trinidad and Tobago,DEF,#4,2,0,CONCACAF
Alvin Jones,Trinidad and Tobago,DEF,#5,2,0,CONCACAF
Dre Fortune,Trinidad and Tobago,MID,#6,4,0,CONCACAF
Michel Poon-Angeron,Trinidad and Tobago,MID,#7,4,0,CONCACAF
Matthew Woo Ling,Trinidad and Tobago,MID,#8,6,0,CONCACAF
Hashim Arica,Trinidad and Tobago,MID,#9,6,0,CONCACAF
Ryan Teffer,Trinidad and Tobago,ATK,#10,10,0,CONCACAF
Gary Griffith III,Trinidad and Tobago,ATK,#11,10,0,CONCACAF
Molvin James,Antigua and Barbuda,GK,#1,0,0,CONCACAF
Kendukar Challenger,Antigua and Barbuda,DEF,#2,1,0,CONCACAF
Shavorn Philip,Antigua and Barbuda,DEF,#3,1,0,CONCACAF
Daniel Bowry,Antigua and Barbuda,DEF,#4,2,0,CONCACAF
Mervyn Hazelwood,Antigua and Barbuda,DEF,#5,2,0,CONCACAF
D'Andre Bishop,Antigua and Barbuda,MID,#6,4,0,CONCACAF
Novelle Francis,Antigua and Barbuda,MID,#7,4,0,CONCACAF
Tevaughn Harriette,Antigua and Barbuda,MID,#8,6,0,CONCACAF
Quinton Griffith,Antigua and Barbuda,MID,#9,6,0,CONCACAF
Javorn Stevens,Antigua and Barbuda,ATK,#10,10,0,CONCACAF
Junior Benjamin,Antigua and Barbuda,ATK,#11,10,0,CONCACAF
Nicholas Hagen,Guatemala,GK,#1,0,0,CONCACAF
Gerado Arias,Guatemala,DEF,#2,1,0,CONCACAF
Moises Hernandez,Guatemala,DEF,#3,1,0,CONCACAF
Wilson Pineda,Guatemala,DEF,#4,2,0,CONCACAF
Carlos Gallardo,Guatemala,DEF,#5,2,0,CONCACAF
Jorge Aparicio,Guatemala,MID,#6,4,0,CONCACAF
Rodrigo Savaria,Guatemala,MID,#7,4,0,CONCACAF
Alejandro Galindo,Guatemala,MID,#8,6,0,CONCACAF
Marvin Ceballos,Guatemala,MID,#9,6,0,CONCACAF
Jairo Areola,Guatemala,ATK,#10,10,0,CONCACAF
Darwin Lom,Guatemala,ATK,#11,10,0,CONCACAF
Julani Archibald,St. Kitts and Nevis,GK,#1,0,0,CONCACAF
Thrizen Leader,St. Kitts and Nevis,DEF,#2,1,0,CONCACAF
Gerard Williams,St. Kitts and Nevis,DEF,#3,1,0,CONCACAF
Atiba Harris,St. Kitts and Nevis,DEF,#4,4,0,CONCACAF
Justin Springer,St. Kitts and Nevis,DEF,#5,2,0,CONCACAF
Raheem Somersall,St. Kitts and Nevis,MID,#6,4,0,CONCACAF
Yohannes Mitchum,St. Kitts and Nevis,MID,#7,4,0,CONCACAF
Theo Warton,St. Kitts and Nevis,MID,#8,6,0,CONCACAF
G'Vaunne Amory,St. Kitts and Nevis,MID,#9,6,0,CONCACAF
Rowan Liburd,St. Kitts and Nevis,ATK,#10,10,0,CONCACAF
Tishan Hanley,St. Kitts and Nevis,ATK,#11,10,0,CONCACAF
Orbendo Huiswold,Suriname,GK,#1,0,0,CONCACAF
Miquel Darson,Suriname,DEF,#2,1,0,CONCACAF
Albert Nibte,Suriname,DEF,#3,1,0,CONCACAF
Anduelo Amoeferie,Suriname,DEF,#4,2,0,CONCACAF
Sersinho Eduards,Suriname,DEF,#5,2,0,CONCACAF
Abraham Graves,Suriname,MID,#6,4,0,CONCACAF
Roscello Vlijter,Suriname,MID,#7,4,0,CONCACAF
Ivenzo Cornelius,Suriname,MID,#8,10,0,CONCACAF
Roxey Fer,Suriname,MID,#9,6,0,CONCACAF
Gleofilo Vlijter,Suriname,ATK,#10,15,0,CONCACAF
Dimitrie Apai,Suriname,ATK,#11,10,0,CONCACAF
Denis Espinoza,Nicaragua,GK,#1,1,0,CONCACAF
Erick Telles,Nicaragua,DEF,#2,1,0,CONCACAF
Cristian Gutierrez,Nicaragua,DEF,#3,1,0,CONCACAF
Manuel Rosas,Nicaragua,DEF,#4,2,0,CONCACAF
Josue Quiano,Nicaragua,DEF,#5,2,0,CONCACAF
Kevin Serapio,Nicaragua,MID,#6,4,0,CONCACAF
Marlon Lopez,Nicaragua,MID,#7,4,0,CONCACAF
Brandon Ayerdis,Nicaragua,MID,#8,6,0,CONCACAF
Luis Galeno,Nicaragua,MID,#9,6,0,CONCACAF
Juan Barrera,Nicaragua,ATK,#10,10,0,CONCACAF
Carlos Chavarria,Nicaragua,ATK,#11,10,0,CONCACAF
Miguel Lloyd,Dominican Republic,GK,#1,0,0,CONCACAF
Ernesto Trinidad,Dominican Republic,DEF,#2,1,0,CONCACAF
Edarlyn Reyes,Dominican Republic,DEF,#3,1,0,CONCACAF
Carlos Julio Martinez,Dominican Republic,DEF,#4,2,0,CONCACAF
Ismael Diaz,Dominican Republic,DEF,#5,2,0,CONCACAF
