Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts
Japan,1.2,1.15,27,0,0,0,0,0,0,0,0
Iran,1.15,1,29,0,0,0,0,0,0,0,0
South Korea,1.15,1.1,38,0,0,0,0,0,0,0,0
Australia,0.95,1,41,0,0,0,0,0,0,0,0
Qatar,0.95,0.9,58,0,0,0,0,0,0,0,0
Saudi Arabia,0.88,0.95,67,0,0,0,0,0,0,0,0
Iraq,0.85,0.85,69,0,0,0,0,0,0,0,0
UAE,0.85,0.77,74,0,0,0,0,0,0,0,0
China,0.8,0.8,75,0,0,0,0,0,0,0,0
Syria,0.82,0.75,76,0,0,0,0,0,0,0,0
Oman,0.75,0.8,82,0,0,0,0,0,0,0,0
Uzbekistan,0.75,0.75,85,0,0,0,0,0,0,0,0
Lebanon,0.7,0.65,92,0,0,0,0,0,0,0,0
Vietnam,0.6,0.6,93,0,0,0,0,0,0,0,0
Jordan,0.65,0.65,95,0,0,0,0,0,0,0,0
Kyrgyzstan,0.45,0.55,96,0,0,0,0,0,0,0,0
Bahrain,0.55,0.6,97,0,0,0,0,0,0,0,0
Palestine,0.6,0.55,102,0,0,0,0,0,0,0,0
India,0.6,0.6,104,0,0,0,0,0,0,0,0
Thailand,0.65,0.55,111,0,0,0,0,0,0,0,0
North Korea,0.57,0.55,115,0,0,0,0,0,0,0,0
Tajikistan,0.48,0.5,121,0,0,0,0,0,0,0,0
Philippines,0.52,0.55,124,0,0,0,0,0,0,0,0
Turkmenistan,0.48,0.48,132,0,0,0,0,0,0,0,0
Myanmar,0.48,0.5,137,0,0,0,0,0,0,0,0
Taipei,0.45,0.4,138,0,0,0,0,0,0,0,0
Hong Kong,0.4,0.4,143,0,0,0,0,0,0,0,0
Yemen,0.6,0.55,145,0,0,0,0,0,0,0,0
Kuwait,0.5,0.5,148,0,0,0,0,0,0,0,0
Afghanistan,0.5,0.5,150,0,0,0,0,0,0,0,0
Malaysia,0.55,0.5,152,0,0,0,0,0,0,0,0
Maldives,0.4,0.35,155,0,0,0,0,0,0,0,0
Singapore,0.4,0.4,158,0,0,0,0,0,0,0,0
Nepal,0.4,0.42,171,0,0,0,0,0,0,0,0
Cambodia,0.39,0.4,173,0,0,0,0,0,0,0,0
Indonesia,0.45,0.5,173,0,0,0,0,0,0,0,0
Macau,0.32,0.32,182,0,0,0,0,0,0,0,0
Bangladesh,0.3,0.35,186,0,0,0,0,0,0,0,0
Laos,0.3,0.3,188,0,0,0,0,0,0,0,0
Bhutan,0.3,0.3,189,0,0,0,0,0,0,0,0
Mongolia,0.3,0.27,190,0,0,0,0,0,0,0,0
Brunei,0.27,0.25,191,0,0,0,0,0,0,0,0
Timor-Leste,0.22,0.22,197,0,0,0,0,0,0,0,0
Guam,0.21,0.2,199,0,0,0,0,0,0,0,0
Pakistan,0.22,0.2,200,0,0,0,0,0,0,0,0
Sri Lanka,0.2,0.2,206,0,0,0,0,0,0,0,0
