Award,Winner
AFC Golden Boot,Son Heuing-min with 13 Goals
AFC Golden Playmaker,Medhi Taremi with 13 Assists
CAF Golden Boot,Kelechi Iheanacho with 6 Goals
CAF Golden Playmaker,Kelechi Iheanacho with 7 Assists
CONCACAF Golden Boot,Jayden Nelson with 19 Goals
CONCACAF Golden Playmaker,Anibal Godoy with 17 Assists
CONMEBOL Golden Boot,Lionel Messi with 11 Goals
CONMEBOL Golden Playmaker,Lionel Messi with 11 Assists
OFC Golden Boot,Chris Wood with 21 Goals
OFC Golden Playmaker,Marco Rojas with 10 Assists
UEFA Golden Boot,Kylian Mbappe with 13 Goals
UEFA Golden Playmaker,Kevin De Bruyne with 14 Assists
Golden Boot,Sergio Ramos with 9 Goals
Golden Playmaker,Luka Modric with 4 Assists
