Name,Country,Position,ShirtNumber,Attack,Passing,P,Goals,Assists,Goals_Per_Game,Assists_Per_Game,Confederation,WC_P,WC_Goals,WC_Assists
Angel Di Maria,Argentina,ATK,#7,10,15,25,7,18,0,0,CONMEBOL,7,3,7
Lionel Messi,Argentina,ATK,#10,20,20,25,15,14,0,0,CONMEBOL,7,5,5
Ante Rebic,Croatia,ATK,#11,10,6,17,15,8,0,0,UEFA,7,3,5
Koke,Spain,MID,#7,3,7,12,0,8,0,0,UEFA,4,0,5
Ansu Fati,Spain,ATK,#10,8,12,12,6,9,0,0,UEFA,4,4,4
Raul Jimenez,Mexico,ATK,#10,10,8,19,12,6,0,0,CONCACAF,5,3,4
Ivan Perisic,Croatia,MID,#9,8,12,17,10,12,0,0,UEFA,7,1,4
Andres Guardado,Mexico,MID,#9,6,10,19,7,5,0,0,CONCACAF,5,4,3
Antoine Griezmann,France,ATK,#10,10,12,15,8,14,0,0,UEFA,5,4,3
Sergio Aguero,Argentina,ATK,#11,15,8,25,8,4,0,0,CONMEBOL,7,3,3
Neymar,Brazil,ATK,#10,20,15,22,11,13,0,0,CONMEBOL,4,2,3
Kingsley Coman,France,ATK,#9,8,10,15,11,7,0,0,UEFA,5,2,3
Robert Lewandowski,Poland,ATK,#11,25,8,22,19,7,0,0,UEFA,4,2,3
Ismalia Sarr,Senegal,MID,#9,8,10,12,3,4,0,0,CAF,4,1,3
Exequiel Palacios,Argentina,MID,#8,5,10,25,9,6,0,0,CONMEBOL,7,1,3
Edson Alvarez,Mexico,MID,#8,4,10,19,3,9,0,0,CONCACAF,5,0,3
Daley Blind,Netherlands,DEF,#4,2,5,15,1,8,0,0,UEFA,5,0,3
Luka Modric,Croatia,MID,#8,6,15,17,5,10,0,0,UEFA,7,4,2
Victor Osimhen,Nigeria,ATK,#9,8,10,11,6,6,0,0,CAF,3,2,2
Leroy Sane,Germany,ATK,#9,10,10,14,4,6,0,0,UEFA,6,2,2
Musashi Suzuki,Japan,ATK,#9,8,8,21,8,7,0,0,AFC,3,1,2
Kalidou Koulibaly,Senegal,DEF,#5,4,5,12,1,3,0,0,CAF,4,1,2
Sime Vrsalijko,Croatia,DEF,#5,2,5,17,3,4,0,0,UEFA,7,1,2
Nelson Semedo,Portugal,DEF,#2,3,5,14,4,5,0,0,UEFA,6,1,2
Diogo Jota,Portugal,MID,#10,10,10,14,7,7,0,0,UEFA,6,1,2
Serge Gnabry,Germany,ATK,#10,10,10,14,7,8,0,0,UEFA,6,1,2
Nicolo Zaniolo,Italy,MID,#8,7,10,4,1,2,0,0,UEFA,4,1,2
Marek Hamsik,Slovakia,MID,#8,6,10,25,4,9,0,0,UEFA,5,1,2
Almoez Azi,Qatar,ATK,#11,10,8,25,10,12,0,0,AFC,3,0,2
Cheikou Kouyate,Senegal,MID,#6,5,4,12,1,2,0,0,CAF,4,0,2
Hakim Ziyech,Morocco,MID,#9,8,10,12,1,7,0,0,CAF,4,0,2
Jamiro,Cabo Verde,MID,#10,9,10,12,3,4,0,0,CAF,4,0,2
Phillipe Coutinho,Brazil,MID,#7,13,12,22,6,10,0,0,CONMEBOL,4,0,2
Nicolas Otamendi,Argentina,DEF,#6,3,4,25,3,2,0,0,CONMEBOL,7,0,2
Paul Pogba,France,MID,#8,6,10,15,6,9,0,0,UEFA,5,0,2
Marcus Rashford,England,ATK,#11,10,8,11,5,6,0,0,UEFA,3,0,2
Joakim Maehle,Denmark,DEF,#4,2,5,12,1,4,0,0,UEFA,4,0,2
Pione Sisto,Denmark,ATK,#9,7,10,12,4,4,0,0,UEFA,4,0,2
Jorginho,Italy,MID,#6,4,10,4,0,2,0,0,UEFA,4,0,2
Juraj Kucka,Slovakia,MID,#7,4,4,25,4,6,0,0,UEFA,5,0,2
Kylian Mbappe,France,ATK,#11,15,8,15,14,4,0,0,UEFA,5,5,1
Karim Boudaif,Qatar,MID,#6,4,4,25,4,7,0,0,AFC,3,2,1
Omar El Kaddouri ,Morocco,MID,#6,5,4,12,3,1,0,0,CAF,4,2,1
Hirving Lozano,Mexico,ATK,#11,10,8,19,7,6,0,0,CONCACAF,5,2,1
Mario Pasalic,Croatia,MID,#7,4,4,17,9,7,0,0,UEFA,7,2,1
Bernardo Silva,Portugal,MID,#8,7,12,14,3,1,0,0,UEFA,6,2,1
Martin Braithwaite,Denmark,ATK,#10,10,8,12,8,5,0,0,UEFA,4,2,1
Yussuf Poulsen,Denmark,ATK,#11,10,8,12,10,5,0,0,UEFA,4,2,1
Joshua Kimmich,Germany,MID,#6,4,9,14,6,4,0,0,UEFA,6,2,1
Georginio Wijnaldum,Netherlands,MID,#8,6,10,15,8,4,0,0,UEFA,5,2,1
Valid Amiri,Iran,MID,#6,4,4,21,6,5,0,0,AFC,3,1,1
Hwang Ui-jo,South Korea,ATK,#16,8,8,21,6,10,0,0,AFC,3,1,1
Sadio Mane,Senegal,ATK,#11,10,8,12,3,1,0,0,CAF,4,1,1
Youssef En-Nesyri,Morocco,ATK,#10,9,8,12,4,3,0,0,CAF,4,1,1
Ryan Mendes,Cabo Verde,ATK,#11,10,8,12,4,5,0,0,CAF,4,1,1
Christian Pulisic,USA,ATK,#10,10,8,17,8,5,0,0,CONCACAF,3,1,1
Lautaro Martinez,Argentina,ATK,#9,10,10,25,3,6,0,0,CONMEBOL,7,1,1
Luis Suarez,Uruguay,ATK,#10,20,8,21,8,5,0,0,CONMEBOL,3,1,1
Corentin Tolisso,France,MID,#7,4,4,15,4,3,0,0,UEFA,5,1,1
Domagoj Vida,Croatia,DEF,#4,2,5,17,2,4,0,0,UEFA,7,1,1
William Carvalho,Portugal,MID,#7,2,4,14,2,2,0,0,UEFA,6,1,1
Thomas Delaney,Denmark,MID,#6,4,4,12,3,2,0,0,UEFA,4,1,1
Leon Goretzka,Germany,MID,#7,4,8,14,6,4,0,0,UEFA,6,1,1
Timo Werner,Germany,ATK,#11,10,8,14,6,4,0,0,UEFA,6,1,1
Mathias de Ligt,Netherlands,DEF,#5,2,5,15,4,9,0,0,UEFA,5,1,1
Memphis Depay,Netherlands,ATK,#11,10,8,15,6,8,0,0,UEFA,5,1,1
Sebastian Giovinco,Italy,ATK,#9,10,10,4,1,1,0,0,UEFA,4,1,1
Stephan El Shaarrawy,Italy,ATK,#10,10,8,4,1,1,0,0,UEFA,4,1,1
