Japan,Iran,South Korea,Australia,Qatar,Saudi Arabia,Iraq,UAE,China,Syria,Oman,Uzbekistan,Lebanon,Vietnam,Jordan,Kyrgyzstan,Bahrain,Palestine,India,Thailand,North Korea,Tajikistan,Philippines,Turkmenistan,Myanmar,Taipei,Hong Kong,Yemen,Kuwait,Afghanistan,Malaysia,Maldives,Singapore,Nepal,Cambodia,Indonesia,Macau,Bangladesh,Laos,Bhutan,Mongolia,Brunei,Timor-Leste,Guam,Pakistan,Sri Lanka,Senegal,Tunisia,Algeria,Morocco,Nigeria,Egypt,Cameroon,Ghana,Mali,Burkina Faso,Congo DR,Ivory Coast,South Africa,Guinea,Uganda,Cabo Verde,Benin,Gabon,Zambia,Congo,Madagascar,Mauritania,Kenya,Mozambique,Zimbabwe,Libya,Niger,Central African Republic,Sierra Leone,Namibia,Guinea-Bissau,Malawi,Angola,Sudan,Togo,Comoros,Rwanda,Equatorial Guinea,Tanzania,Burundi,Lesotho,Botswana,Ethiopia,Liberia,Eswatini,Gambia,South Sudan,Mauritius,Chad,Djibouti,Sao Tome,Somalia,Seychelles,Eritrea,Mexico,USA,Jamaica,Costa Rica,Honduras,El Salvador,Canada,Curacao,Panama,Haiti,Trinidad and Tobago,Antigua and Barbuda,Guatemala,St.Kitts and Nevis,Suriname,Nicaragua,Dominican Republic,Grenada,Barbados,Guyana,St. Vincent and the Grenadines,Bermuda,Belize,St. Lucia,Puerto Rico,Cuba,Montserrat,Dominica,Cayman Islands,Bahamas,Aruba,Turks and Caicos,US Virgin Islands,British Virgin Islands,Anguilla,Brazil,Argentina,Uruguay,Colombia,Chile,Peru,Venezuela,Paraguay,Ecuador,Bolivia,New Zealand,Solomon Islands,New Caledonia,Tahiti,Fiji,Vanuatu,Papua New Guinea,American Samoa,Tonga,Cook Islands,Belgium,France,England,Portugal,Spain,Italy,Croatia,Denmark,Germany,Netherlands,Switzerland,Wales,Poland,Sweden,Austria,Ukraine,Serbia,Turkey,Slovakia,Romania,Russia,Hungary,Czechia,Republic of Ireland,Norway,Northern Ireland,Iceland,Scotland,Greece,Finland,Bosnia and Herzegovina,Slvoenia,Montenegro,North Macedonia,Albania,Bulgaria,Israel,Belarus,Georgia,Luxembourg,Armenia,Cyprus,Faroe Islands,Azerbaijan,Estonia,Kosovo,Kazakhstan,Lithuania,Latvia,Andorra,Malta,Moldova,Liechtenstein,Gibraltar,San Marino
E.Kawashima,,G.Sung-Yun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y.Butt,,E.Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr.Miyagi,,K.Tae-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.Qazi,,S.Sane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Hasebe,,J.Tae-Wook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z.Rehman,,K.Koulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Yoshida,,N.Tae-Hee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.Khan (Khan Research Laboratories),,K.Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Kubo,,S.Jun-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.Nabi,,I.Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Asano,,H.Hee-Chan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.Mohammad,,S.Mane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Suzuki,,H-M.Son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.Faheem (WAPDA),,B.Dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Minamino,,L.Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.Nabi,,P.C.Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Sakai,,L.Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T.Hussain,,C.Kouyate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.Nagatomo,,J.Seung-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H.Bahir,,M.Wague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Tomiyasu,,K.Kyung-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.Khan Niazi (K-Electric),,P.A.Cisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
