Country,Confederation,World_Rank,Attack,Defence,World_Cup_Apps,RO16_Apps,QF_Apps,SF_Apps,Finals_Apps,World_Cup_Wins,Total_P,Total_GF,Total_GA,GF_PG,GA_PG,Total_Clean_Sheets,Clean_Sheet_%
Japan,AFC,,1.2,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,AFC,,1.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,AFC,,1.15,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AFC,,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,AFC,,0.95,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,AFC,,0.88,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,AFC,,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,AFC,,0.85,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
China,AFC,,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,AFC,,0.82,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,AFC,,0.75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,AFC,,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,AFC,,0.7,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,AFC,,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,AFC,,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,AFC,,0.45,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,AFC,,0.55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,AFC,,0.6,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
India,AFC,,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,AFC,,0.65,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,AFC,,0.57,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
