Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts
Mexico,1.35,1.4,9,0,0,0,0,0,0,0,0
USA,1.15,1.05,22,0,0,0,0,0,0,0,0
Jamaica,0.85,0.75,47,0,0,0,0,0,0,0,0
Costa Rica,0.8,0.8,51,0,0,0,0,0,0,0,0
Honduras,0.7,0.65,64,0,0,0,0,0,0,0,0
El Salvador,0.6,0.6,70,0,0,0,0,0,0,0,0
Canada,0.75,0.85,72,0,0,0,0,0,0,0,0
Curacao,0.7,0.75,76,0,0,0,0,0,0,0,0
Panama,0.7,0.7,78,0,0,0,0,0,0,0,0
Haiti,0.68,0.68,84,0,0,0,0,0,0,0,0
Trinidad and Tobago,0.65,0.65,103,0,0,0,0,0,0,0,0
Antigua and Barbuda,0.45,0.45,126,0,0,0,0,0,0,0,0
Guatemala,0.43,0.4,131,0,0,0,0,0,0,0,0
St.Kitts and Nevis,0.35,0.32,140,0,0,0,0,0,0,0,0
Suriname,0.45,0.42,141,0,0,0,0,0,0,0,0
Nicaragua,0.4,0.4,149,0,0,0,0,0,0,0,0
Dominican Republic,0.4,0.35,159,0,0,0,0,0,0,0,0
Grenada,0.3,0.3,160,0,0,0,0,0,0,0,0
Barbados,0.35,0.3,162,0,0,0,0,0,0,0,0
Guyana,0.3,0.35,167,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,0.25,0.3,168,0,0,0,0,0,0,0,0
Bermuda,0.3,0.3,169,0,0,0,0,0,0,0,0
Belize,0.35,0.3,170,0,0,0,0,0,0,0,0
St. Lucia,0.22,0.23,175,0,0,0,0,0,0,0,0
Puerto Rico,0.27,0.27,179,0,0,0,0,0,0,0,0
Cuba,0.5,0.55,180,0,0,0,0,0,0,0,0
Montserrat,0.2,0.18,183,0,0,0,0,0,0,0,0
Dominica,0.2,0.2,184,0,0,0,0,0,0,0,0
Cayman Islands,0.12,0.14,193,0,0,0,0,0,0,0,0
Bahamas,0.25,0.15,196,0,0,0,0,0,0,0,0
Aruba,0.14,0.16,200,0,0,0,0,0,0,0,0
Turks and Caicos,0.15,0.14,203,0,0,0,0,0,0,0,0
US Virgin Islands,0.13,0.13,207,0,0,0,0,0,0,0,0
British Virgin Islands,0.12,0.1,208,0,0,0,0,0,0,0,0
Anguilla,0.15,0.12,209,0,0,0,0,0,0,0,0
