Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts
New Zealand,0.65,0.65,118,0,0,0,0,0,0,0,0
Solomon Islands,0.25,0.25,141,0,0,0,0,0,0,0,0
New Caledonia,0.15,0.3,156,0,0,0,0,0,0,0,0
Tahiti,0.2,0.23,161,0,0,0,0,0,0,0,0
Fiji,0.15,0.2,164,0,0,0,0,0,0,0,0
Vanuatu,0.2,0.15,165,0,0,0,0,0,0,0,0
Papua New Guinea,0.15,0.2,166,0,0,0,0,0,0,0,0
American Samoa,0.15,0.17,192,0,0,0,0,0,0,0,0
Samoa,0.12,0.15,194,0,0,0,0,0,0,0,0
Tonga,0.1,0.1,203,0,0,0,0,0,0,0,0
Cook Islands,0.1,0.1,211,0,0,0,0,0,0,0,0
