Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts
Belgium,1.75,1.65,1,,,,,,,,
France,1.9,1.85,2,,,,,,,,
England,1.55,1.7,4,,,,,,,,
Portugal,1.6,1.7,5,,,,,,,,
Spain,1.85,1.7,6,,,,,,,,
Italy,1.45,1.65,10,,,,,,,,
Croatia,1.65,1.4,11,,,,,,,,
Denmark,1.3,1.35,12,,,,,,,,
Germany,1.7,1.6,13,,,,,,,,
Netherlands,1.6,1.5,14,,,,,,,,
Switzerland,1.2,1.25,16,,,,,,,,
Wales,0.95,1.1,18,,,,,,,,
Poland,1.4,1.05,19,,,,,,,,
Sweden,1.15,1.2,20,,,,,,,,
Austria,1.25,1.3,23,,,,,,,,
Ukraine,1.05,1,24,,,,,,,,
Serbia,1.3,1.1,30,,,,,,,,
Turkey,1.2,1.25,32,,,,,,,,
Slovakia,1,1.05,33,,,,,,,,
Romania,1,0.95,37,,,,,,,,
Russia,1,1.15,39,,,,,,,,
Hungary,0.9,0.85,40,,,,,,,,
Czechia,1.05,0.95,42,,,,,,,,
Republic of Ireland,0.85,1.05,42,,,,,,,,
Norway,1.25,1.05,44,,,,,,,,
Northern Ireland,0.85,0.95,45,,,,,,,,
Iceland,0.75,1,46,,,,,,,,
Scotland,0.85,0.9,48,,,,,,,,
Greece,0.95,0.9,53,,,,,,,,
Finland,0.75,0.9,54,,,,,,,,
Bosnia and Herzegovina,0.95,0.85,55,,,,,,,,
Slovenia,0.8,0.95,62,,,,,,,,
Montenegro,0.8,0.8,63,,,,,,,,
North Macedonia,0.75,0.73,65,,,,,,,,
Albania,0.73,0.72,66,,,,,,,,
Bulgaria,0.75,0.74,68,,,,,,,,
Israel,0.77,0.79,87,,,,,,,,
Belarus,0.75,0.73,88,,,,,,,,
Georgia,0.65,0.75,89,,,,,,,,
Luxembourg,0.6,0.6,98,,,,,,,,
Armenia,0.62,0.55,99,,,,,,,,
Cyprus,0.55,0.5,100,,,,,,,,
Faroe Islands,0.45,0.47,107,,,,,,,,
Azerbaijan,0.48,0.5,109,,,,,,,,
Estonia,0.43,0.6,109,,,,,,,,
Kosovo,0.77,0.63,117,,,,,,,,
Kazakhstan,0.6,0.55,122,,,,,,,,
Lithuania,0.45,0.55,129,,,,,,,,
Latvia,0.47,0.47,136,,,,,,,,
Andorra,0.35,0.4,151,,,,,,,,
Malta,0.37,0.37,176,,,,,,,,
Moldova,0.32,0.32,177,,,,,,,,
Liechtenstein,0.26,0.24,181,,,,,,,,
Gibraltar,0.3,0.32,195,,,,,,,,
San Marino,0.22,0.2,210,,,,,,,,
