Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts,Confederation
Japan,1.2,1.15,28,0,0,0,0,0,0,0,0,AFC
Iran,1.15,1,22,0,0,0,0,0,0,0,0,AFC
South Korea,1.15,1.1,35,0,0,0,0,0,0,0,0,AFC
Australia,0.95,1,34,0,0,0,0,0,0,0,0,AFC
Qatar,0.95,0.9,46,0,0,0,0,0,0,0,0,AFC
Saudi Arabia,0.88,0.95,49,0,0,0,0,0,0,0,0,AFC
Iraq,0.85,0.85,72,0,0,0,0,0,0,0,0,AFC
UAE,0.85,0.77,71,0,0,0,0,0,0,0,0,AFC
China,0.8,0.8,75,0,0,0,0,0,0,0,0,AFC
Syria,0.82,0.75,85,0,0,0,0,0,0,0,0,AFC
Oman,0.75,0.8,77,0,0,0,0,0,0,0,0,AFC
Uzbekistan,0.75,0.75,84,0,0,0,0,0,0,0,0,AFC
Lebanon,0.7,0.65,92,0,0,0,0,0,0,0,0,AFC
Vietnam,0.6,0.6,98,0,0,0,0,0,0,0,0,AFC
Jordan,0.65,0.65,90,0,0,0,0,0,0,0,0,AFC
Kyrgyzstan,0.45,0.55,96,0,0,0,0,0,0,0,0,AFC
Bahrain,0.55,0.6,91,0,0,0,0,0,0,0,0,AFC
Palestine,0.6,0.55,100,0,0,0,0,0,0,0,0,AFC
India,0.6,0.6,106,0,0,0,0,0,0,0,0,AFC
Thailand,0.65,0.55,117,0,0,0,0,0,0,0,0,AFC
North Korea,0.57,0.55,110,0,0,0,0,0,0,0,0,AFC
Tajikistan,0.48,0.5,114,0,0,0,0,0,0,0,0,AFC
Philippines,0.52,0.55,127,0,0,0,0,0,0,0,0,AFC
Turkmenistan,0.48,0.48,131,0,0,0,0,0,0,0,0,AFC
Myanmar,0.48,0.5,145,0,0,0,0,0,0,0,0,AFC
Taipei,0.45,0.4,158,0,0,0,0,0,0,0,0,AFC
Hong Kong,0.4,0.4,148,0,0,0,0,0,0,0,0,AFC
Yemen,0.6,0.55,151,0,0,0,0,0,0,0,0,AFC
Kuwait,0.5,0.5,142,0,0,0,0,0,0,0,0,AFC
Afghanistan,0.5,0.5,152,0,0,0,0,0,0,0,0,AFC
Malaysia,0.55,0.5,155,0,0,0,0,0,0,0,0,AFC
Maldives,0.4,0.35,156,0,0,0,0,0,0,0,0,AFC
Singapore,0.4,0.4,160,0,0,0,0,0,0,0,0,AFC
Nepal,0.4,0.42,169,0,0,0,0,0,0,0,0,AFC
Cambodia,0.39,0.4,170,0,0,0,0,0,0,0,0,AFC
Indonesia,0.45,0.5,165,0,0,0,0,0,0,0,0,AFC
Macau,0.32,0.32,182,0,0,0,0,0,0,0,0,AFC
Bangladesh,0.3,0.35,187,0,0,0,0,0,0,0,0,AFC
Laos,0.3,0.3,185,0,0,0,0,0,0,0,0,AFC
Bhutan,0.3,0.3,186,0,0,0,0,0,0,0,0,AFC
Mongolia,0.3,0.27,184,0,0,0,0,0,0,0,0,AFC
Brunei,0.27,0.25,189,0,0,0,0,0,0,0,0,AFC
Timor-Leste,0.22,0.22,194,0,0,0,0,0,0,0,0,AFC
Guam,0.21,0.2,206,0,0,0,0,0,0,0,0,AFC
Pakistan,0.22,0.2,197,0,0,0,0,0,0,0,0,AFC
Sri Lanka,0.2,0.2,204,0,0,0,0,0,0,0,0,AFC
