Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts,Confederation
Senegal,1.3,1.3,20,0,0,0,0,0,0,0,0,CAF
Tunisia,1.15,1.2,27,0,0,0,0,0,0,0,0,CAF
Algeria,1.2,1.1,30,0,0,0,0,0,0,0,0,CAF
Morocco,1.1,1.1,29,0,0,0,0,0,0,0,0,CAF
Nigeria,1.15,1.05,36,0,0,0,0,0,0,0,0,CAF
Egypt,1.2,1.15,44,0,0,0,0,0,0,0,0,CAF
Cameroon,1.15,1.1,54,0,0,0,0,0,0,0,0,CAF
Ghana,1.1,1.05,52,0,0,0,0,0,0,0,0,CAF
Mali,1.1,1.1,57,0,0,0,0,0,0,0,0,CAF
Burkina Faso,1.05,0.95,61,0,0,0,0,0,0,0,0,CAF
Congo DR,0.95,1.05,67,0,0,0,0,0,0,0,0,CAF
Ivory Coast,1.2,1.05,53,0,0,0,0,0,0,0,0,CAF
South Africa,0.9,1,66,0,0,0,0,0,0,0,0,CAF
Guinea,0.85,0.8,79,0,0,0,0,0,0,0,0,CAF
Uganda,0.8,0.8,82,0,0,0,0,0,0,0,0,CAF
Cabo Verde,0.8,0.9,76,0,0,0,0,0,0,0,0,CAF
Benin,0.8,0.8,83,0,0,0,0,0,0,0,0,CAF
Gabon,0.85,0.67,88,0,0,0,0,0,0,0,0,CAF
Zambia,0.75,0.82,87,0,0,0,0,0,0,0,0,CAF
Congo,0.8,0.8,97,0,0,0,0,0,0,0,0,CAF
Madagascar,0.7,0.75,99,0,0,0,0,0,0,0,0,CAF
Mauritania,0.7,0.75,102,0,0,0,0,0,0,0,0,CAF
Kenya,0.75,0.76,104,0,0,0,0,0,0,0,0,CAF
Mozambique,0.7,0.78,122,0,0,0,0,0,0,0,0,CAF
Zimbabwe,0.7,0.74,118,0,0,0,0,0,0,0,0,CAF
Libya,0.75,0.73,112,0,0,0,0,0,0,0,0,CAF
Niger,0.7,0.67,121,0,0,0,0,0,0,0,0,CAF
Central African Republic,0.7,0.77,115,0,0,0,0,0,0,0,0,CAF
Sierra Leone,0.77,0.73,107,0,0,0,0,0,0,0,0,CAF
Namibia,0.69,0.72,108,0,0,0,0,0,0,0,0,CAF
Guinea-Bissau,0.65,0.67,109,0,0,0,0,0,0,0,0,CAF
Malawi,0.63,0.65,120,0,0,0,0,0,0,0,0,CAF
Angola,0.7,0.75,129,0,0,0,0,0,0,0,0,CAF
Sudan,0.6,0.6,123,0,0,0,0,0,0,0,0,CAF
Togo,0.72,0.58,134,0,0,0,0,0,0,0,0,CAF
Comoros,0.6,0.6,132,0,0,0,0,0,0,0,0,CAF
Rwanda,0.62,0.6,133,0,0,0,0,0,0,0,0,CAF
Equatorial Guinea,0.57,0.67,126,0,0,0,0,0,0,0,0,CAF
Tanzania,0.55,0.55,130,0,0,0,0,0,0,0,0,CAF
Burundi,0.57,0.58,141,0,0,0,0,0,0,0,0,CAF
Lesotho,0.53,0.5,144,0,0,0,0,0,0,0,0,CAF
Botswana,0.5,0.5,149,0,0,0,0,0,0,0,0,CAF
Ethiopia,0.52,0.5,137,0,0,0,0,0,0,0,0,CAF
Liberia,0.64,0.57,150,0,0,0,0,0,0,0,0,CAF
Eswatini,0.47,0.5,146,0,0,0,0,0,0,0,0,CAF
Gambia,0.55,0.45,147,0,0,0,0,0,0,0,0,CAF
South Sudan,0.4,0.4,167,0,0,0,0,0,0,0,0,CAF
Mauritius,0.45,0.5,172,0,0,0,0,0,0,0,0,CAF
Chad,0.42,0.4,180,0,0,0,0,0,0,0,0,CAF
Djibouti,0.37,0.37,188,0,0,0,0,0,0,0,0,CAF
Sao Tome and Principe,0.33,0.32,191,0,0,0,0,0,0,0,0,CAF
Somalia,0.3,0.3,195,0,0,0,0,0,0,0,0,CAF
Seychelles,0.29,0.29,199,0,0,0,0,0,0,0,0,CAF
Eritrea,0.27,0.28,203,0,0,0,0,0,0,0,0,CAF
