Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts,Confederation
Mexico,1.35,1.4,9,0,0,0,0,0,0,0,0,CONCACAF
USA,1.15,1.05,13,0,0,0,0,0,0,0,0,CONCACAF
Jamaica,0.85,0.75,59,0,0,0,0,0,0,0,0,CONCACAF
Costa Rica,0.8,0.8,45,0,0,0,0,0,0,0,0,CONCACAF
Honduras,0.7,0.65,68,0,0,0,0,0,0,0,0,CONCACAF
El Salvador,0.6,0.6,65,0,0,0,0,0,0,0,0,CONCACAF
Canada,0.75,0.85,48,0,0,0,0,0,0,0,0,CONCACAF
Curacao,0.7,0.75,81,0,0,0,0,0,0,0,0,CONCACAF
Panama,0.7,0.7,69,0,0,0,0,0,0,0,0,CONCACAF
Haiti,0.68,0.68,86,0,0,0,0,0,0,0,0,CONCACAF
Trinidad and Tobago,0.65,0.65,101,0,0,0,0,0,0,0,0,CONCACAF
Antigua and Barbuda,0.45,0.45,128,0,0,0,0,0,0,0,0,CONCACAF
Guatemala,0.43,0.4,124,0,0,0,0,0,0,0,0,CONCACAF
St. Kitts and Nevis,0.35,0.32,138,0,0,0,0,0,0,0,0,CONCACAF
Suriname,0.45,0.42,139,0,0,0,0,0,0,0,0,CONCACAF
Nicaragua,0.4,0.4,143,0,0,0,0,0,0,0,0,CONCACAF
Dominican Republic,0.4,0.35,157,0,0,0,0,0,0,0,0,CONCACAF
Grenada,0.3,0.3,168,0,0,0,0,0,0,0,0,CONCACAF
Barbados,0.35,0.3,162,0,0,0,0,0,0,0,0,CONCACAF
Guyana,0.3,0.35,176,0,0,0,0,0,0,0,0,CONCACAF
St. Vincent and the Grenadines,0.25,0.3,175,0,0,0,0,0,0,0,0,CONCACAF
Bermuda,0.3,0.3,166,0,0,0,0,0,0,0,0,CONCACAF
Belize,0.35,0.3,171,0,0,0,0,0,0,0,0,CONCACAF
St. Lucia,0.22,0.23,177,0,0,0,0,0,0,0,0,CONCACAF
Puerto Rico,0.27,0.27,174,0,0,0,0,0,0,0,0,CONCACAF
Cuba,0.5,0.55,179,0,0,0,0,0,0,0,0,CONCACAF
Montserrat,0.2,0.18,178,0,0,0,0,0,0,0,0,CONCACAF
Dominica,0.2,0.2,183,0,0,0,0,0,0,0,0,CONCACAF
Cayman Islands,0.12,0.14,196,0,0,0,0,0,0,0,0,CONCACAF
Bahamas,0.25,0.15,202,0,0,0,0,0,0,0,0,CONCACAF
Aruba,0.14,0.16,201,0,0,0,0,0,0,0,0,CONCACAF
Turks and Caicos Islands,0.15,0.14,205,0,0,0,0,0,0,0,0,CONCACAF
US Virgin Islands,0.13,0.13,207,0,0,0,0,0,0,0,0,CONCACAF
British Virgin Islands,0.12,0.1,208,0,0,0,0,0,0,0,0,CONCACAF
Anguilla,0.15,0.12,209,0,0,0,0,0,0,0,0,CONCACAF
