Name,Country,Confederation,Total_P,Total_Goals,Total_Assists,G_PG,A_PG,Total_WC_P,Total_WC_Goals,Total_WC_Assists,WC_G_PG,WC_A_PG,Golden_Boots,Golden_Playmakers
Eiji Kawashima,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Yugo Nagtomo,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Hiroki Sakai,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Maya Yoshida,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Wataru Endo,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Makoto Hasebe,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Takefusi Kubo,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Musashi Suzuki,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Takuma Asano,Japan,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Alireza Beiranvand,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Hossein Kanaanizadegan,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Sadegh Moharrami,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Milad Mohammadi,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Morteza Pouraliganji,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Valid Amiri,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Ehsan Hajsafi,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Medhi Torabi,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Medhi Taremi,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Sardar Azmoun,Iran,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Jo Hyeon-Woo,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Kim Jin-su,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Kwon Kyung-won,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Kim Min-jae,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Hong Chul,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Lee Chung-yong,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Nam Tae-hee,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Lee Jae-sung,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Hwang Hee-chan,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Hwang Ui-jo,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Son Heuing-min,South Korea,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Ryan,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Milos Degenek,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Bailey Wright,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Aziz Behich,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Harry Soutar,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Trent Salisbury,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Jackson Irvine,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Mooy,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Tom Rogic,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Awer Mabil,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Adam Taggart,Australia,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Saad Al Sheeb,Qatar,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Ro-Ro,Qatar,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Abdelkarim Hassan ,Qatar,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Boualem Khoukhi,Qatar,AFC,0,0,0,0,0,0,0,0,0,0,0,0
Al-Madhi Al Mukhtar,Qatar,AFC,0,0,0,0,0,0,0,0,0,0,0,0
