Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts,Confederation
Japan,1.2,1.15,27,0,0,0,0,0,0,0,0,AFC
South Korea,1.15,1.1,38,0,0,0,0,0,0,0,0,AFC
China,0.8,0.8,75,0,0,0,0,0,0,0,0,AFC
India,0.6,0.6,104,0,0,0,0,0,0,0,0,AFC
Qatar,0.95,0.9,58,0,0,0,0,0,0,0,0,AFC
UAE,0.85,0.77,74,0,0,0,0,0,0,0,0,AFC
Australia,0.95,1,41,0,0,0,0,0,0,0,0,AFC
Saudi Arabia,0.88,0.95,67,0,0,0,0,0,0,0,0,AFC
France,1.9,1.85,2,0,0,0,0,0,0,0,0,UEFA
England,1.55,1.7,4,0,0,0,0,0,0,0,0,UEFA
Spain,1.85,1.7,6,0,0,0,0,0,0,0,0,UEFA
Italy,1.45,1.65,10,0,0,0,0,0,0,0,0,UEFA
Germany,1.7,1.6,13,0,0,0,0,0,0,0,0,UEFA
Russia,1,1.15,39,0,0,0,0,0,0,0,0,UEFA
Brazil,1.8,1.7,3,0,0,0,0,0,0,0,0,CONMEBOL
Argentina,1.8,1.6,7,0,0,0,0,0,0,0,0,CONMEBOL
Morocco,1.1,1.1,35,0,0,0,0,0,0,0,0,CAF
Egypt,1.2,1.15,49,0,0,0,0,0,0,0,0,CAF
South Africa,0.9,1,71,0,0,0,0,0,0,0,0,CAF
Mexico,1.35,1.4,9,0,0,0,0,0,0,0,0,CONCACAF
USA,1.15,1.05,22,0,0,0,0,0,0,0,0,CONCACAF
