Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts,Confederation
New Zealand,0.65,0.65,118,0,0,0,0,0,0,0,0,OFC
Solomon Islands,0.25,0.24,141,0,0,0,0,0,0,0,0,OFC
New Caledonia,0.24,0.23,156,0,0,0,0,0,0,0,0,OFC
Tahiti,0.23,0.22,161,0,0,0,0,0,0,0,0,OFC
Fiji,0.22,0.21,164,0,0,0,0,0,0,0,0,OFC
Vanuatu,0.21,0.2,165,0,0,0,0,0,0,0,0,OFC
Papua New Guinea,0.2,0.19,166,0,0,0,0,0,0,0,0,OFC
American Samoa,0.14,0.16,192,0,0,0,0,0,0,0,0,OFC
Samoa,0.13,0.15,194,0,0,0,0,0,0,0,0,OFC
Tonga,0.12,0.14,203,0,0,0,0,0,0,0,0,OFC
Cook Islands,0.11,0.13,211,0,0,0,0,0,0,0,0,OFC
