Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts,Confederation
Belgium,1.75,1.65,1,0,0,0,0,0,0,0,0,UEFA
France,1.9,1.85,3,0,0,0,0,0,0,0,0,UEFA
England,1.55,1.7,5,0,0,0,0,0,0,0,0,UEFA
Portugal,1.6,1.7,8,0,0,0,0,0,0,0,0,UEFA
Spain,1.85,1.7,7,0,0,0,0,0,0,0,0,UEFA
Italy,1.45,1.65,4,0,0,0,0,0,0,0,0,UEFA
Croatia,1.65,1.4,18,0,0,0,0,0,0,0,0,UEFA
Denmark,1.3,1.35,10,0,0,0,0,0,0,0,0,UEFA
Germany,1.7,1.6,12,0,0,0,0,0,0,0,0,UEFA
Netherlands,1.6,1.5,11,0,0,0,0,0,0,0,0,UEFA
Switzerland,1.2,1.25,14,0,0,0,0,0,0,0,0,UEFA
Wales,0.95,1.1,19,0,0,0,0,0,0,0,0,UEFA
Poland,1.4,1.05,23,0,0,0,0,0,0,0,0,UEFA
Sweden,1.15,1.2,17,0,0,0,0,0,0,0,0,UEFA
Austria,1.25,1.3,32,0,0,0,0,0,0,0,0,UEFA
Ukraine,1.05,1,26,0,0,0,0,0,0,0,0,UEFA
Serbia,1.3,1.1,25,0,0,0,0,0,0,0,0,UEFA
Turkey,1.2,1.25,39,0,0,0,0,0,0,0,0,UEFA
Slovakia,1,1.05,40,0,0,0,0,0,0,0,0,UEFA
Romania,1,0.95,41,0,0,0,0,0,0,0,0,UEFA
Russia,1,1.15,33,0,0,0,0,0,0,0,0,UEFA
Hungary,0.9,0.85,43,0,0,0,0,0,0,0,0,UEFA
Czechia,1.05,0.95,31,0,0,0,0,0,0,0,0,UEFA
Republic of Ireland,0.85,1.05,51,0,0,0,0,0,0,0,0,UEFA
Norway,1.25,1.05,37,0,0,0,0,0,0,0,0,UEFA
Northern Ireland,0.85,0.95,58,0,0,0,0,0,0,0,0,UEFA
Iceland,0.75,1,62,0,0,0,0,0,0,0,0,UEFA
Scotland,0.85,0.9,42,0,0,0,0,0,0,0,0,UEFA
Greece,0.95,0.9,47,0,0,0,0,0,0,0,0,UEFA
Finland,0.75,0.9,60,0,0,0,0,0,0,0,0,UEFA
Bosnia and Herzegovina,0.95,0.85,56,0,0,0,0,0,0,0,0,UEFA
Slovenia,0.8,0.95,64,0,0,0,0,0,0,0,0,UEFA
Montenegro,0.8,0.8,73,0,0,0,0,0,0,0,0,UEFA
North Macedonia,0.75,0.73,74,0,0,0,0,0,0,0,0,UEFA
Albania,0.73,0.72,63,0,0,0,0,0,0,0,0,UEFA
Bulgaria,0.75,0.74,70,0,0,0,0,0,0,0,0,UEFA
Israel,0.77,0.79,80,0,0,0,0,0,0,0,0,UEFA
Belarus,0.75,0.73,95,0,0,0,0,0,0,0,0,UEFA
Georgia,0.65,0.75,93,0,0,0,0,0,0,0,0,UEFA
Luxembourg,0.6,0.6,94,0,0,0,0,0,0,0,0,UEFA
Armenia,0.62,0.55,89,0,0,0,0,0,0,0,0,UEFA
Cyprus,0.55,0.5,103,0,0,0,0,0,0,0,0,UEFA
Faroe Islands,0.45,0.47,116,0,0,0,0,0,0,0,0,UEFA
Azerbaijan,0.48,0.5,119,0,0,0,0,0,0,0,0,UEFA
Estonia,0.43,0.6,105,0,0,0,0,0,0,0,0,UEFA
Kosovo,0.77,0.63,113,0,0,0,0,0,0,0,0,UEFA
Kazakhstan,0.6,0.55,125,0,0,0,0,0,0,0,0,UEFA
Lithuania,0.45,0.55,135,0,0,0,0,0,0,0,0,UEFA
Latvia,0.47,0.47,136,0,0,0,0,0,0,0,0,UEFA
Andorra,0.35,0.4,153,0,0,0,0,0,0,0,0,UEFA
Malta,0.37,0.37,173,0,0,0,0,0,0,0,0,UEFA
Moldova,0.32,0.32,181,0,0,0,0,0,0,0,0,UEFA
Liechtenstein,0.26,0.24,190,0,0,0,0,0,0,0,0,UEFA
Gibraltar,0.3,0.32,198,0,0,0,0,0,0,0,0,UEFA
San Marino,0.22,0.2,210,0,0,0,0,0,0,0,0,UEFA
