Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Stefan Marinovic,New Zealand,GK,#1,0,0,OFC
Michael Boxall,New Zealand,DEF,#2,1,0,OFC
Bill Tuiloma,New Zealand,DEF,#3,1,0,OFC
Winston Reid,New Zealand,DEF,#4,2,0,OFC
Tommy Smith,New Zealand,DEF,#5,2,0,OFC
Alex Ruffer,New Zealand,MID,#6,4,0,OFC
Ryan Thomas,New Zealand,MID,#7,6,0,OFC
Marco Rojas,New Zealand,MID,#8,6,0,OFC
Michael McGlinchey,New Zealand,MID,#9,6,0,OFC
Andre De Jong,New Zealand,ATK,#10,10,0,OFC
Chris Wood,New Zealand,ATK,#11,20,0,OFC
Desmond Tutu,Solomon Islands,GK,#1,0,0,OFC
Hadisi Aengari,Solomon Islands,DEF,#2,1,0,OFC
Boni Pride,Solomon Islands,DEF,#3,1,0,OFC
Richard Hiromana,Solomon Islands,DEF,#4,2,0,OFC
Emmanuel Poila,Solomon Islands,DEF,#5,2,0,OFC
Jerry Donga,Solomon Islands,MID,#6,4,0,OFC
Atkin Kaua,Solomon Islands,MID,#7,4,0,OFC
Micah Lea'alafa,Solomon Islands,MID,#8,6,0,OFC
Gagame Feni,Solomon Islands,MID,#9,6,0,OFC
Tutizama Tanito,Solomon Islands,MID,#10,6,0,OFC
Adrian Mara,Solomon Islands,ATK,#11,10,0,OFC
Rocky Nyikeine,New Caledonia,GK,#1,0,0,OFC
Joseph Tchako,New Caledonia,DEF,#2,1,0,OFC
Emile Bearune,New Caledonia,DEF,#3,1,0,OFC
Jacques Wamytan,New Caledonia,DEF,#4,2,0,OFC
Jorys Mene,New Caledonia,DEF,#5,2,0,OFC
Cedric Sansot,New Caledonia,MID,#6,4,0,OFC
Didier Simane,New Caledonia,MID,#7,4,0,OFC
Geordy Gony,New Caledonia,MID,#8,6,0,OFC
Cesar Zeoula,New Caledonia,MID,#9,6,0,OFC
Betrand Kai,New Caledonia,ATK,#10,10,0,OFC
Jean-Philippe Saiko,New Caledonia,ATK,#11,10,0,OFC
Teave Teamotuaitau,Tahiti,GK,#1,0,0,OFC
Marama Amau,Tahiti,DEF,#2,1,0,OFC
Matatia Paama,Tahiti,DEF,#3,1,0,OFC
Jean-Claude Paraue,Tahiti,DEF,#4,2,0,OFC
Farearii Tuteina,Tahiti,DEF,#5,2,0,OFC
Kevin Barbe,Tahiti,MID,#6,4,0,OFC
