Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Thibaut Courtois,Belgium,GK,#1,0,0,UEFA
Jason Denayer,Belgium,DEF,#2,2,0,UEFA
Toby Alderweireld,Belgium,DEF,#3,2,0,UEFA
Jan Vertonghen,Belgium,DEF,#4,2,0,UEFA
Thomas Meunier,Belgium,DEF,#5,4,0,UEFA
Timothy Castagne,Belgium,DEF,#6,4,0,UEFA
Axel Witsel,Belgium,MID,#7,4,0,UEFA
Kevin De Bruyne,Belgium,MID,#8,10,0,UEFA
Eden Hazard,Belgium,ATK,#9,12,0,UEFA
Dries Mertens,Belgium,ATK,#10,10,0,UEFA
Romelu Lukaku,Belgium,ATK,#11,12,0,UEFA
Hugo Lloris,France,GK,#1,0,0,UEFA
Lucas Digne,France,DEF,#2,2,0,UEFA
Raphael Varane,France,DEF,#3,1,0,UEFA
Lucas Hernandez,France,DEF,#4,2,0,UEFA
Benjamin Pavard,France,DEF,#5,4,0,UEFA
Ngolo Kante,France,MID,#6,3,0,UEFA
Corentin Tolisso,France,MID,#7,4,0,UEFA
Paul Pogba,France,MID,#8,6,0,UEFA
Kingsley Coman,France,ATK,#9,8,0,UEFA
Antoine Griezmann,France,ATK,#10,10,0,UEFA
Kylian Mbappe,France,ATK,#11,15,0,UEFA
Nick Pope,England,GK,#1,0,0,UEFA
Ben Chilwell,England,DEF,#2,4,0,UEFA
Eric Dier,England,DEF,#3,1,0,UEFA
Harry Maguire,England,DEF,#4,2,0,UEFA
Kyle Walker,England,DEF,#5,2,0,UEFA
Jordan Henderson,England,DEF,#6,4,0,UEFA
Declan Rice,England,MID,#7,3,0,UEFA
Jadon Sancho,England,MID,#8,8,0,UEFA
Raheem Sterling,England,ATK,#9,8,0,UEFA
Harry Kane,England,ATK,#10,12,0,UEFA
Marcus Rashford,England,ATK,#11,10,0,UEFA
Dominik Livakovic,Croatia,GK,#1,0,0,UEFA
Duje Caleta-Car,Croatia,DEF,#2,1,0,UEFA
Dejan Lovren,Croatia,DEF,#3,1,0,UEFA
Domagoj Vida,Croatia,DEF,#4,2,0,UEFA
Sime Vrsalijko,Croatia,DEF,#5,2,0,UEFA
Mario Kovacic,Croatia,MID,#6,4,0,UEFA
Mario Pasalic,Croatia,MID,#7,4,0,UEFA
Luka Modric,Croatia,MID,#8,6,0,UEFA
Ivan Perisic,Croatia,MID,#9,8,0,UEFA
Andre Kramaric,Croatia,ATK,#10,10,0,UEFA
Ante Rebic,Croatia,ATK,#11,10,0,UEFA
Rui Patricio,Portugal,GK,#1,0,0,UEFA
Nelson Semedo,Portugal,DEF,#2,3,0,UEFA
Ruben Dias,Portugal,DEF,#3,1,0,UEFA
Pepe,Portugal,DEF,#4,2,0,UEFA
Raphhael Guerreiro,Portugal,DEF,#5,5,0,UEFA
Joao Moutinho,Portugal,MID,#6,4,0,UEFA
William Carvalho,Portugal,MID,#7,2,0,UEFA
Bernardo Silva,Portugal,MID,#8,7,0,UEFA
Joao Felix,Portugal,MID,#9,8,0,UEFA
Diogo Jota,Portugal,MID,#10,10,0,UEFA
Cristiano Ronaldo,Portugal,ATK,#11,20,0,UEFA
Yann Sommer,Switzerland,GK,#1,0,0,UEFA
Manuel Akanki,Switzerland,DEF,#2,1,0,UEFA
Nico Elvedi,Switzerland,DEF,#3,1,0,UEFA
Fabian Schar,Switzerland,DEF,#4,2,0,UEFA
Ricardo Rodriguez,Switzerland,DEF,#5,2,0,UEFA
Granit Xhaka,Switzerland,MID,#6,5,0,UEFA
